Word	pierre	peter	andrew	ferdinand	constantine	ilyá	nataly	natásha	pétya	joseph	alexander	dmítri	mary	márya	michael	paul	anna	másha	hélène	anatole	hippolyte	lise	sónya	nicholas	platón	cyril	vasíli	bonaparte	napoleon	bagratión	kutúzov	arakchéev	kurákin	bezúkhov	bezúkhova	campan	sorbier	fouché	davout	murat	wolzogen	barclay	kurágin	kurágina	volkónski	ermólov	schérer	dólokhov	karatáev	rostopchín	nesvítski	alexéevich	andréevich	vladímirovich	ivánovich	vasílevich	nikoláevich	pávlovich	milorádovich	mikháylovna	pávlovna	abrámovna	general	colonel	marshal	adjutant	emperor	prince	count	duke	archduke	princess	countess	moscow	petersburg	pávlograd	borodinó	kalúga	paris	vienna	russia	france	austria	|	Label
attack	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	5	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	|	WAR
shoot	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|	WAR
kill	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	|	WAR
desperate	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|	WAR
die	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	|	WAR
cavalry	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	5	1	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	|	WAR
squadron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	|	WAR
soldier	17	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	3	1	1	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	|	WAR
marshal	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	6	5	5	2	0	2	0	3	0	0	0	0	0	0	1	0	0	|	WAR
colonel	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	4	0	2	1	4	2	0	0	1	1	0	0	1	0	0	1	0	0	0	0	|	WAR
general	13	0	13	0	1	1	0	2	0	0	3	0	1	0	2	0	4	0	3	0	1	0	0	4	0	0	2	7	11	3	22	1	0	1	0	3	1	1	4	1	4	6	0	0	1	3	1	0	0	1	2	0	2	0	1	0	0	1	1	0	4	0	18	8	1	14	20	34	10	1	1	3	1	4	8	0	2	0	0	1	1	0	1	|	WAR
peace	2	0	1	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	7	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	0	0	0	1	1	3	0	0	0	0	0	0	2	3	0	|	PEACE
love	20	0	13	0	0	0	1	47	1	1	1	0	8	0	0	0	1	0	1	6	0	1	18	18	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	19	1	0	0	10	6	3	0	0	0	0	0	0	1	0	0	|	PEACE
court	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	9	3	3	0	0	0	0	1	4	0	0	0	1	1	0	0	1	|	PEACE
palace	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	|	PEACE
home	16	0	6	0	0	1	0	10	6	0	0	0	0	0	2	0	2	0	1	1	0	0	4	10	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	1	4	6	2	0	0	0	0	0	0	0	0	|	PEACE
house	26	0	15	0	0	0	0	15	1	4	3	0	5	3	0	0	1	0	5	1	0	0	6	8	0	1	2	1	1	2	2	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	7	0	0	1	2	0	1	0	0	0	0	0	2	0	1	1	0	1	3	1	32	9	0	0	12	7	29	11	0	1	0	1	0	0	0	0	|	PEACE
child	9	0	4	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	|	PEACE
family	5	0	1	0	0	2	0	5	1	0	0	4	1	2	0	0	0	0	1	2	0	0	1	5	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	8	3	0	0	0	4	3	2	0	0	0	0	0	0	0	0	|	PEACE
friendship	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|	PEACE
marriage	2	0	2	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	2	1	2	0	0	0	0	0	0	0	0	1	|	PEACE
wife	24	0	13	0	0	1	0	5	2	1	0	0	7	0	0	0	3	1	4	4	1	2	7	12	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	3	0	0	0	1	21	8	0	0	8	10	4	2	0	0	0	0	0	0	0	0	|	PEACE
husband	5	0	3	0	0	1	0	8	0	0	0	0	4	0	0	0	1	0	3	1	2	1	0	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	9	3	0	0	1	9	1	3	0	0	0	0	0	0	0	0	|	PEACE
happy	16	0	6	0	0	0	0	26	2	0	0	0	9	1	0	0	1	0	0	0	0	1	13	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	4	6	4	0	0	7	2	1	1	0	0	0	0	1	0	0	0	|	PEACE
joyful	6	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	|	PEACE
joy	5	0	0	0	0	0	0	6	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0	|	PEACE
birthday	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|	PEACE
holiday	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|	PEACE
wedding	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|	PEACE
dress	1	0	3	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	11	3	0	0	0	0	0	0	0	0	0	0	|	PEACE
dance	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	|	PEACE
ballroom	1	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	|	PEACE
ball	7	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	2	1	0	0	1	2	0	2	0	0	1	0	0	0	0	0	|	PEACE
quiet	7	0	2	0	0	0	0	4	1	1	0	0	4	0	2	0	1	0	0	1	1	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	1	0	0	3	2	1	0	0	1	0	0	0	0	0	0	|	PEACE
calm	5	0	1	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	|	PEACE
